count,date,time,id
1,2024-11-01,15:36:40.588,1
2,2024-11-01,15:37:21.046,1
3,2024-11-01,15:37:59.417,1
4,2024-11-01,15:38:39.674,1
5,2024-11-01,15:38:59.230,1
1,2024-11-01,15:42:35.394,2
2,2024-11-01,15:42:35.544,2
3,2024-11-01,15:42:35.693,2
4,2024-11-01,15:42:35.844,2
5,2024-11-01,15:42:35.977,2
6,2024-11-01,15:42:42.324,2
7,2024-11-01,15:42:51.136,2
1,2024-11-01,15:43:32.268,1
8,2024-11-01,15:43:33.635,2
9,2024-11-01,15:43:55.963,2
2,2024-11-01,15:44:03.006,1
10,2024-11-01,15:44:06.524,2
3,2024-11-01,15:44:21.886,1
4,2024-11-01,15:44:22.046,1
5,2024-11-01,15:44:41.676,1
11,2024-11-01,15:44:51.856,2
12,2024-11-01,15:44:51.962,2
13,2024-11-01,15:45:17.566,2
6,2024-11-01,15:45:35.460,1
7,2024-11-01,15:45:35.569,1
14,2024-11-01,15:45:36.352,2
15,2024-11-01,15:45:36.486,2
16,2024-11-01,15:45:37.169,2
17,2024-11-01,15:45:41.566,2
18,2024-11-01,15:45:42.168,2
19,2024-11-01,15:45:51.928,2
20,2024-11-01,15:45:52.062,2
21,2024-11-01,15:46:02.509,2
8,2024-11-01,15:46:29.819,1
9,2024-11-01,15:46:42.696,1
22,2024-11-01,15:46:43.135,2
23,2024-11-01,15:46:52.596,2
24,2024-11-01,15:47:00.809,2
1,2024-11-01,15:47:38.119,2
1,2024-11-01,15:47:55.454,1
2,2024-11-01,15:48:25.565,2
2,2024-11-01,15:48:26.083,1
3,2024-11-01,15:48:27.598,2
4,2024-11-01,15:48:27.748,2
5,2024-11-01,15:48:31.498,2
6,2024-11-01,15:49:00.667,2
7,2024-11-01,15:49:01.600,2
3,2024-11-01,15:49:06.996,1
8,2024-11-01,15:49:13.994,2
9,2024-11-01,15:49:14.127,2
4,2024-11-01,15:49:19.690,1
10,2024-11-01,15:49:29.053,2
11,2024-11-01,15:49:29.208,2
12,2024-11-01,15:49:29.341,2
16,2024-11-01,15:49:50.701,2
17,2024-11-01,15:49:50.867,2
18,2024-11-01,15:49:51.001,2
19,2024-11-01,15:49:52.033,2
5,2024-11-01,15:49:52.767,1
6,2024-11-01,15:50:15.904,1
20,2024-11-01,15:50:25.542,2
21,2024-11-01,15:50:25.684,2
22,2024-11-01,15:50:35.227,2
22,2024-11-01,15:50:35.227,2
23,2024-11-01,15:50:35.359,2
23,2024-11-01,15:50:35.359,2
7,2024-11-01,15:50:47.983,1
8,2024-11-01,15:51:01.319,1
24,2024-11-01,15:51:17.128,2
24,2024-11-01,15:51:17.128,2
25,2024-11-01,15:51:17.257,2
25,2024-11-01,15:51:17.257,2
26,2024-11-01,15:51:17.391,2
26,2024-11-01,15:51:17.391,2
27,2024-11-01,15:51:17.541,2
27,2024-11-01,15:51:17.541,2
28,2024-11-01,15:51:17.824,2
9,2024-11-01,15:51:18.408,1
29,2024-11-01,15:51:26.870,2
30,2024-11-01,15:51:33.313,2
31,2024-11-01,15:51:33.454,2
32,2024-11-01,15:51:33.604,2
33,2024-11-01,15:51:39.067,2
1,2024-11-01,15:53:23.375,2
2,2024-11-01,15:53:25.622,2
3,2024-11-01,15:53:29.958,2
1,2024-11-01,15:54:21.740,1
4,2024-11-01,15:54:22.271,2
5,2024-11-01,15:54:22.421,2
6,2024-11-01,15:54:22.587,2
7,2024-11-01,15:54:22.721,2
8,2024-11-01,15:54:23.154,2
9,2024-11-01,15:54:23.371,2
10,2024-11-01,15:54:23.672,2
11,2024-11-01,15:54:23.938,2
12,2024-11-01,15:54:29.358,2
2,2024-11-01,15:54:40.458,1
3,2024-11-01,15:54:59.788,1
14,2024-11-01,15:55:00.426,2
15,2024-11-01,15:55:23.882,2
4,2024-11-01,15:55:31.814,1
16,2024-11-01,15:55:32.310,2
5,2024-11-01,15:55:49.826,1
6,2024-11-01,15:55:56.653,1
17,2024-11-01,15:56:26.455,2
18,2024-11-01,15:56:30.656,2
19,2024-11-01,15:56:30.804,2
19,2024-11-01,15:56:30.804,2
20,2024-11-01,15:56:39.197,2
20,2024-11-01,15:56:39.197,2
7,2024-11-01,15:56:39.870,1
8,2024-11-01,15:56:56.662,1
21,2024-11-01,15:57:00.958,2
21,2024-11-01,15:57:00.958,2
22,2024-11-01,15:57:01.075,2
22,2024-11-01,15:57:01.075,2
23,2024-11-01,15:57:16.188,2
23,2024-11-01,15:57:16.188,2
9,2024-11-01,15:57:16.709,1
10,2024-11-01,15:57:28.180,1
11,2024-11-01,15:57:28.293,1
24,2024-11-01,15:57:43.027,2
24,2024-11-01,15:57:43.027,2
25,2024-11-01,15:58:06.863,2
25,2024-11-01,15:58:06.863,2
26,2024-11-01,15:58:06.996,2
27,2024-11-01,15:58:13.232,2
28,2024-11-01,15:58:19.303,2
12,2024-11-01,15:58:28.720,1
13,2024-11-01,15:58:29.748,1
29,2024-11-01,15:58:36.851,2
30,2024-11-01,15:58:41.755,2
1,2024-11-01,15:59:40.853,2
2,2024-11-01,15:59:44.723,2
3,2024-11-01,15:59:44.855,2
4,2024-11-01,16:00:04.006,2
5,2024-11-01,16:00:13.547,2
6,2024-11-01,16:00:16.910,2
7,2024-11-01,16:00:17.058,2
8,2024-11-01,16:00:23.882,2
9,2024-11-01,16:00:24.058,2
10,2024-11-01,16:00:25.242,2
1,2024-11-01,16:00:34.284,1
11,2024-11-01,16:00:35.008,2
12,2024-11-01,16:00:35.609,2
13,2024-11-01,16:00:41.880,2
2,2024-11-01,16:00:43.278,1
3,2024-11-01,16:00:43.829,1
14,2024-11-01,16:00:44.913,2
4,2024-11-01,16:00:52.521,1
15,2024-11-01,16:00:52.950,2
16,2024-11-01,16:00:57.402,2
17,2024-11-01,16:00:57.918,2
18,2024-11-01,16:01:00.653,2
19,2024-11-01,16:01:06.127,2
20,2024-11-01,16:01:07.306,2
21,2024-11-01,16:01:10.823,2
22,2024-11-01,16:01:19.647,2
22,2024-11-01,16:01:19.647,2
23,2024-11-01,16:01:21.440,2
23,2024-11-01,16:01:21.440,2
24,2024-11-01,16:01:22.340,2
24,2024-11-01,16:01:22.340,2
25,2024-11-01,16:01:25.126,2
26,2024-11-01,16:01:38.468,2
27,2024-11-01,16:01:39.126,2
5,2024-11-01,16:02:22.396,1
28,2024-11-01,16:02:31.223,2
29,2024-11-01,16:02:31.365,2
30,2024-11-01,16:02:42.735,2
31,2024-11-01,16:02:47.398,2
6,2024-11-01,16:02:54.131,1
32,2024-11-01,16:02:54.727,2
33,2024-11-01,16:02:54.844,2
